gene_id	log2FoldChange	pvalue
G6767	0.866292421	0.158761998
G6768	0.380496462	0.158777602
G6769	0.546423359	0.158848199
G6770	-0.664385995	0.158898354
G6771	0.259776224	0.158911243
G6772	-3.745705615	0.158928202
G6773	-0.467920928	0.158930491
G6774	0.456017391	0.158948276
G6775	-0.339194467	0.158955669
G6776	-0.33397751	0.158994528
G6777	0.407742849	0.15907144
G6778	4.142800723	0.159090777
G6779	-0.497346434	0.15911018
G6780	-0.257749568	0.159147538
G6781	-1.166755824	0.159162728
G6782	-0.5702851	0.159224174
G6783	1.005584308	0.159225589
G6784	0.766258698	0.159338925
G6785	0.327886956	0.159364029
G6786	0.22604286	0.159406706
G6787	0.455640678	0.15941645
G6788	-0.355925708	0.159425073
G6789	0.798895499	0.159596138
G6790	-0.41126227	0.159645031
G6791	0.522568466	0.159655451
G6792	0.27409538	0.159676154
G6793	-0.418654143	0.159679075
G6794	-0.352050866	0.159689202
G6795	-0.498543553	0.159698692
G6796	0.761758799	0.159705236
G6797	-1.996862129	0.159806793
G6798	0.259143634	0.159849416
G6799	0.83328896	0.159882214
G6800	-0.30306626	0.15991162
G6801	-0.746455108	0.159924148
G6802	-0.608568443	0.160003977
G6803	-0.2419379	0.160030511
G6804	-0.268094603	0.160036325
G6805	-2.768746301	0.160072486
G6806	-0.534382502	0.160080386
G6807	-0.621077051	0.160083797
G6808	-1.684569639	0.160103579
G6809	-0.331351209	0.160147154
G6810	-0.463344911	0.160147939
G6811	0.624249921	0.160181212
G6812	1.460840104	0.160185253
G6813	0.2620024	0.16024247
G6814	0.439440537	0.160324358
G6815	-1.013748717	0.160362632
G6816	-0.24561602	0.160400885
G6817	-0.261505351	0.160409176
G6818	0.376379467	0.160415936
G6819	-0.353068302	0.160447756
G6820	-0.577112896	0.160491484
G6821	0.301168568	0.16051921
G6822	2.59973839	0.160520588
G6823	-0.423603718	0.160613747
G6824	0.438975078	0.16067916
G6825	-0.300846108	0.160771806
G6826	-0.43096639	0.160794012
G6827	0.571015899	0.160797413
G6828	-1.098834518	0.160855312
G6829	-1.002174832	0.160909733
G6830	-0.37793998	0.160919716
G6831	0.319609819	0.160935783
G6832	0.655736208	0.160941334
G6833	0.268968766	0.161011304
G6834	-0.606058442	0.161049957
G6835	-0.693641293	0.161079572
G6836	-0.542346737	0.161085325
G6837	0.27755529	0.16114983
G6838	0.620253184	0.161198135
G6839	-0.474944935	0.161288073
G6840	0.444428821	0.161386672
G6841	-0.565195365	0.161397328
G6842	0.336864779	0.161417723
G6843	-0.575311137	0.161431533
G6844	2.042999148	0.161471665
G6845	0.308275079	0.161479914
G6846	0.728286886	0.161534956
G6847	0.578402598	0.161550401
G6848	-2.066824336	0.161554062
G6849	0.386718553	0.161563074
G6850	3.155998732	0.161598816
G6851	-0.220126981	0.161612697
G6852	0.893743315	0.161633237
G6853	-0.563489736	0.161639221
G6854	0.392333291	0.161704303
G6855	0.335450112	0.161744144
G6856	1.022002715	0.161840876
G6857	1.137256759	0.161843439
G6858	-0.315486555	0.161856405
G6859	-0.413395935	0.161864512
G6860	0.319601084	0.161867174
G6861	-0.50957328	0.161867368
G6862	-0.339942241	0.161875098
G6863	-0.433041513	0.1619031
G6864	-0.315036148	0.161975676
G6865	0.261653734	0.162065264
G6866	-0.5911599	0.162084223
G6867	0.596783571	0.162101827
G6868	1.092299794	0.162144795
G6869	-1.086342555	0.162145263
G6870	-0.300406377	0.162146877
G6871	-0.324760311	0.162150339
G6872	-0.380079607	0.162272597
G6873	2.993450846	0.162308256
G6874	-0.67130496	0.162320206
G6875	0.465532987	0.162357421
G6876	-0.769796572	0.162377847
G6877	0.335449242	0.162396052
G6878	0.238670397	0.162418576
G6879	-0.249247091	0.162453269
G6880	-0.638079623	0.162602403
G6881	-0.446066308	0.162610477
G6882	0.309845214	0.162706523
G6883	0.377785303	0.162722998
G6884	0.235197466	0.16273948
G6885	1.382780194	0.162746697
G6886	0.25371629	0.162761132
G6887	0.48777808	0.162789842
G6888	-0.514750867	0.162865964
G6889	-0.287288583	0.162904747
G6890	0.239667678	0.162907221
G6891	0.301426777	0.162918974
G6892	0.672230476	0.162957706
G6893	0.80095574	0.162968125
G6894	-0.951760851	0.162973126
G6895	-0.482170332	0.162979558
G6896	0.234271155	0.163004683
G6897	0.456411244	0.163007948
G6898	4.122456009	0.163034277
G6899	-0.378874059	0.163049051
G6900	-0.432911234	0.163066906
G6901	-0.329436529	0.16313525
G6902	0.773203656	0.163147183
G6903	-0.379668851	0.16322035
G6904	-0.400282722	0.163329644
G6905	0.398212582	0.163344897
G6906	-0.532414594	0.163415522
G6907	-0.288932109	0.16345021
G6908	-0.405474838	0.16356738
G6909	-0.512208814	0.163630335
G6910	-0.817382602	0.163665407
G6911	0.226906077	0.163684818
G6912	0.219594529	0.163724722
G6913	-0.755304217	0.163790396
G6914	-0.351304292	0.163799383
G6915	-0.359847423	0.16382831
G6916	-0.278564996	0.163839682
G6917	-0.633290424	0.163845023
G6918	4.118114249	0.16388506
G6919	0.375689525	0.163911094
G6920	-0.383443351	0.163912954
G6921	-0.394170687	0.163987644
G6922	-0.218094875	0.163999895
G6923	0.473187085	0.164008792
G6924	-1.013947115	0.164044051
G6925	-0.335399928	0.164069311
G6926	-3.120152761	0.164121075
G6927	2.776264159	0.16413496
G6928	0.28700605	0.164233715
G6929	3.502093416	0.164244066
G6930	-0.254721118	0.164261581
G6931	-0.737940268	0.164289953
G6932	0.793719868	0.164321658
G6933	0.284213683	0.164342625
G6934	-0.816447886	0.1643544
G6935	-0.370575326	0.164364176
G6936	-0.612303363	0.164425193
G6937	-1.560094287	0.164439466
G6938	0.436262938	0.164457626
G6939	1.282807869	0.164468954
G6940	0.487235268	0.164480706
G6941	-0.301486959	0.164481014
G6942	-0.236536191	0.164556778
G6943	-0.503654854	0.164604623
G6944	-0.658532839	0.164637931
G6945	-0.422819935	0.16464584
G6946	-3.957373466	0.16476362
G6947	0.287279605	0.164785962
G6948	-0.53876131	0.164832905
G6949	0.53519166	0.164881349
G6950	-0.621878528	0.164901966
G6951	0.98390692	0.164953037
G6952	-3.711087146	0.164990381
G6953	2.120444696	0.165022732
G6954	-0.321744155	0.165022902
G6955	-0.567847104	0.165056344
G6956	0.922979166	0.165078627
G6957	-3.120238365	0.165090561
G6958	2.009188377	0.165190597
G6959	-0.49419807	0.165223954
G6960	0.314083315	0.165226705
G6961	1.681405282	0.165261429
G6962	0.280138046	0.165302453
G6963	0.303298558	0.165313269
G6964	-0.417355477	0.165368723
G6965	-0.273122299	0.16540068
G6966	-0.273650612	0.165425248
G6967	0.561257532	0.165428484
G6968	2.814111586	0.165451949
G6969	0.449483339	0.16546113
G6970	-0.369388871	0.165511236
G6971	-0.253210925	0.165516732
G6972	-0.567571226	0.165600365
G6973	-1.098242321	0.165605644
G6974	0.308474914	0.165626331
G6975	-0.27804868	0.165694692
G6976	0.296282755	0.165721472
G6977	-0.290004217	0.165732962
G6978	1.444344171	0.165741653
G6979	0.408762376	0.165748845
G6980	0.251968413	0.165758593
G6981	0.337305656	0.16579556
G6982	0.286578329	0.165803173
G6983	-0.266387947	0.165831845
G6984	-0.284795994	0.165911083
G6985	2.282307091	0.165962391
G6986	-1.546855759	0.165991668
G6987	-0.922710132	0.166006603
G6988	-0.448678102	0.166016472
G6989	-0.439154073	0.166073547
G6990	1.593852272	0.166138519
G6991	-0.35014805	0.166149536
G6992	0.391936956	0.166165655
G6993	-0.409073456	0.166200042
G6994	0.319291882	0.166210222
G6995	-0.677364618	0.166240648
G6996	0.309455593	0.166282934
G6997	1.236778789	0.166377198
G6998	3.030306974	0.166400221
G6999	-0.351802714	0.166520778
G7000	1.278468323	0.166524795
G7001	-3.312728522	0.166550418
G7002	-1.237602426	0.166553731
G7003	0.378743423	0.166606518
G7004	0.246275656	0.166687973
G7005	-0.311744347	0.166723381
G7006	-0.261821752	0.166754508
G7007	-0.332694293	0.16675456
G7008	0.903857093	0.166795238
G7009	-2.120008094	0.16679732
G7010	-0.322812535	0.166828025
G7011	0.346697077	0.166925685
G7012	-0.628389288	0.16700354
G7013	0.340821336	0.167028225
G7014	0.274103182	0.167064928
G7015	-0.391501822	0.16707184
G7016	-0.387468023	0.167076931
G7017	0.283529206	0.167089037
G7018	0.213905493	0.167187708
G7019	-0.43996486	0.167191298
G7020	1.015012418	0.16724039
G7021	0.335171625	0.167254337
G7022	-0.451446167	0.167336217
G7023	0.912476589	0.167372845
G7024	0.210619819	0.167386662
G7025	-0.263864637	0.167433746
G7026	0.633335105	0.167435371
G7027	4.342914502	0.167456462
G7028	4.342914502	0.167456462
G7029	-1.441981798	0.167459433
G7030	1.453729279	0.167479783
G7031	0.195707728	0.167483635
G7032	-0.32968969	0.167486864
G7033	-0.29181572	0.167514252
G7034	-1.415921265	0.16752308
G7035	0.526863935	0.167572129
G7036	0.255069104	0.167597159
G7037	-0.38372101	0.167617585
G7038	-0.31623965	0.167636603
G7039	0.620083963	0.167657558
G7040	-0.392053949	0.167662377
G7041	0.261735547	0.167733924
G7042	-0.333944001	0.167738419
G7043	0.327826025	0.167828664
G7044	0.336017993	0.16783606
G7045	0.382403448	0.167885483
G7046	0.250851286	0.167918187
G7047	0.293903141	0.167943249
G7048	-0.302620746	0.167951868
G7049	-0.309694841	0.167973458
G7050	-0.291614242	0.16802932
G7051	-2.898547642	0.168042095
G7052	-0.794325214	0.168092233
G7053	-3.92416231	0.168112011
G7054	0.401184827	0.168203424
G7055	-0.301395637	0.168236418
G7056	0.344939061	0.168345581
G7057	0.237853355	0.16835758
G7058	0.938857146	0.168398443
G7059	-0.404267013	0.168436278
G7060	0.425908034	0.168497829
G7061	-1.088148054	0.168530233
G7062	0.422611458	0.168568855
G7063	1.212814137	0.168574498
G7064	-0.386619855	0.168577306
G7065	0.848607249	0.168582051
G7066	-0.27494367	0.168608793
G7067	0.284631176	0.168662878
G7068	0.329216656	0.168696578
G7069	0.741033242	0.168727286
G7070	-0.287645031	0.168828853
G7071	-0.459327084	0.168830508
G7072	0.456112859	0.168906652
G7073	1.477929615	0.168910688
G7074	0.332876786	0.168910925
G7075	-3.936290315	0.168944032
G7076	2.892358746	0.169011662
G7077	0.255468424	0.169031819
G7078	0.422555422	0.169083012
G7079	0.298742384	0.169101397
G7080	0.351699212	0.169102032
G7081	2.327625091	0.169167575
G7082	-0.227433455	0.169192212
G7083	-2.655945899	0.169217431
G7084	-0.656891493	0.169232134
G7085	-0.550848121	0.169257611
G7086	-0.292203233	0.169282032
G7087	0.261164473	0.169283285
G7088	-0.292957759	0.169283648
G7089	-1.372481899	0.169311169
G7090	0.386217507	0.169322953
G7091	1.20085178	0.169334022
G7092	-0.241510135	0.169362922
G7093	-1.654930723	0.169364894
G7094	-0.549947536	0.169366918
G7095	-2.375617448	0.169367757
G7096	0.266567702	0.169470078
G7097	-0.275170982	0.169487104
G7098	0.245243991	0.169545899
G7099	-1.343793005	0.169553584
G7100	-1.707965081	0.169618104
G7101	0.307115879	0.169664779
G7102	-0.659180331	0.169669814
G7103	-0.356042497	0.16977245
G7104	-0.412603152	0.169852028
G7105	0.286974968	0.169858016
G7106	-0.344473237	0.169872547
G7107	2.15466674	0.169918063
G7108	-1.055018308	0.16991929
G7109	-3.966754487	0.169929921
G7110	-1.853343278	0.169933369
G7111	-0.578303841	0.169935863
G7112	-0.381094773	0.169942643
G7113	0.243995565	0.169994322
G7114	-0.282884662	0.169995038
G7115	0.429009597	0.170021399
G7116	-3.963618323	0.170036602
G7117	0.231357863	0.170053166
G7118	0.341230635	0.17011642
G7119	0.643436577	0.170119998
G7120	0.287593757	0.170120743
G7121	0.360478639	0.170143418
G7122	-1.073511679	0.170174375
G7123	0.298350415	0.170178942
G7124	-0.67381227	0.17018489
G7125	-0.365431283	0.170194304
G7126	0.275407302	0.170258487
G7127	-0.563774414	0.170295516
G7128	-0.511661613	0.170303562
G7129	0.316615981	0.170315387
G7130	-0.942512917	0.170418962
G7131	0.725566631	0.170456014
G7132	0.45248831	0.170474479
G7133	0.339001173	0.170548502
G7134	1.740017077	0.170584998
G7135	-0.659534177	0.170590383
G7136	0.246773208	0.17060703
G7137	-0.397437408	0.170737424
G7138	0.22030874	0.170748554
G7139	1.857372558	0.17076551
G7140	1.61748702	0.170891008
G7141	0.604611656	0.170931804
G7142	-0.328637722	0.171012102
G7143	0.452679712	0.171079304
G7144	-0.28385913	0.171176071
G7145	-0.305276445	0.171432776
G7146	-0.262274999	0.171501578
G7147	-0.394949779	0.171560862
G7148	-0.52767893	0.171572173
G7149	0.285512083	0.171577326
G7150	0.265806616	0.171596018
G7151	0.324231011	0.171651388
G7152	-0.300682611	0.171708024
G7153	-0.363785183	0.171729019
G7154	-0.26804767	0.171759721
G7155	-3.681806014	0.171826263
G7156	-0.421192427	0.171832412
G7157	0.395563993	0.171861794
G7158	-0.213578953	0.171893415
G7159	0.316010529	0.171907553
G7160	0.468969284	0.171960432
G7161	0.392314638	0.171970329
G7162	0.335407502	0.172033035
G7163	0.361095232	0.172033173
G7164	-0.260343651	0.172039067
G7165	-0.432128517	0.172072875
G7166	-0.250337475	0.172078054
G7167	-0.356223698	0.172082013
G7168	2.700818756	0.172096023
G7169	-0.536594246	0.172100922
G7170	0.481793203	0.172118159
G7171	0.393573405	0.172126993
G7172	0.453206494	0.172146966
G7173	0.339105687	0.17215616
G7174	1.499266497	0.172210808
G7175	-0.365849423	0.172224129
G7176	-0.332018174	0.17235152
G7177	-0.273687629	0.172358319
G7178	-0.747762177	0.172381516
G7179	-0.69990333	0.172404609
G7180	-0.248307268	0.172432608
G7181	0.252130842	0.17246552
G7182	0.242829685	0.172471525
G7183	0.243182562	0.17248591
G7184	-0.76535396	0.172490252
G7185	-1.043481733	0.172494224
G7186	0.304838973	0.172498265
G7187	0.51543283	0.172566898
G7188	0.714298341	0.172572167
G7189	-0.633536889	0.172586854
G7190	-1.638830355	0.172608026
G7191	3.67033032	0.172631445
G7192	-1.967089191	0.172636747
G7193	1.398183156	0.172641089
G7194	0.381842989	0.17265407
G7195	-1.998226186	0.172680906
G7196	-2.295329429	0.172686759
G7197	-0.38964343	0.172687522
G7198	0.669533265	0.172716921
G7199	-0.354651156	0.172742092
G7200	0.386326362	0.172877964
G7201	1.690016985	0.172979574
G7202	-1.352724045	0.172989331
G7203	-0.350010289	0.17304418
G7204	1.010603709	0.173046647
G7205	0.380111536	0.17305548
G7206	0.280663966	0.173086511
G7207	0.493154321	0.173092656
G7208	-0.277773943	0.173105234
G7209	-3.675632442	0.17312162
G7210	-0.248824997	0.173129938
G7211	-1.725385148	0.173153546
G7212	-0.375106783	0.173163478
G7213	1.155634448	0.173209827
G7214	-0.279354115	0.173216583
G7215	0.722079259	0.173231001
G7216	-0.307401098	0.173236207
G7217	-0.338979452	0.173242056
G7218	-0.286176844	0.173287078
G7219	0.41414503	0.173291431
G7220	-0.326153587	0.173336249
G7221	-0.34614312	0.173383287
G7222	0.373552832	0.173420024
G7223	0.605602965	0.173441434
G7224	0.236618217	0.17347692
G7225	-0.25100168	0.173488349
G7226	-0.367575741	0.173497266
G7227	0.298354212	0.173533368
G7228	-0.358780466	0.173537685
G7229	-0.453786175	0.173612485
G7230	-0.269535482	0.173623353
G7231	0.294646289	0.173623807
G7232	-0.817005045	0.173632279
G7233	-0.51005109	0.173663118
G7234	-1.01138316	0.173669462
G7235	0.223912706	0.173671881
G7236	-0.643660119	0.173719511
G7237	-1.361059194	0.173735602
G7238	-0.28182442	0.173771874
G7239	-0.583216295	0.173774966
G7240	0.298182388	0.173834659
G7241	0.230368087	0.173841806
G7242	-0.894766127	0.173852446
G7243	0.26143852	0.173895339
G7244	-0.347579811	0.173998279
G7245	0.269161519	0.174044655
G7246	0.20738747	0.174066524
G7247	-0.381044814	0.174070511
G7248	-1.867671702	0.174127008
G7249	-0.302985008	0.174155484
G7250	0.387752947	0.174192863
G7251	4.308366105	0.174227186
G7252	4.308366105	0.174227186
G7253	-0.613446357	0.174239611
G7254	-0.522416598	0.174249648
G7255	2.363701649	0.174333225
G7256	0.427912833	0.174342845
G7257	-0.607766624	0.174377329
G7258	-0.781642187	0.174383714
G7259	0.28941883	0.17461989
G7260	0.351497337	0.174627768
G7261	0.981664054	0.174712469
G7262	0.886167581	0.174712759
G7263	-0.274254363	0.174791692
G7264	0.648673538	0.174823365
G7265	-0.30962616	0.174839647
G7266	-0.26132153	0.174846135
G7267	-0.614789681	0.17485907
G7268	0.397278176	0.174904597
G7269	-1.684983175	0.17490985
G7270	0.695250263	0.174920376
G7271	0.355355288	0.174936654
G7272	0.320819456	0.174939363
G7273	-0.727626583	0.174946712
G7274	-0.334426553	0.174967819
G7275	-0.655723591	0.175057651
G7276	0.226158021	0.175072021
G7277	0.517825832	0.175251032
G7278	-0.300733491	0.175276485
G7279	-0.366108159	0.175331509
G7280	0.514237803	0.175356679
G7281	1.551844367	0.175399126
G7282	-0.33339379	0.175585386
G7283	-0.29787759	0.175657597
G7284	-0.29979274	0.175692943
G7285	-0.8739801	0.175708331
G7286	0.245849394	0.175731329
G7287	-0.531870496	0.175755813
G7288	3.365232909	0.175759
G7289	-0.192822276	0.175759288
G7290	-0.429646554	0.175760365
G7291	-0.304796495	0.175766336
G7292	-1.474233707	0.175794562
G7293	0.274236691	0.175820542
G7294	-0.260560985	0.175852065
G7295	0.282401804	0.175877884
G7296	0.327845411	0.175885623
G7297	0.45506298	0.175934426
G7298	-2.001630184	0.175935446
G7299	0.267535882	0.175954176
G7300	0.256781457	0.176072901
G7301	-3.270545046	0.176087896
G7302	-0.295031592	0.176101478
G7303	2.546487553	0.176109299
G7304	-0.218666045	0.176135017
G7305	-0.521929392	0.176177214
G7306	0.38152032	0.176185457
G7307	2.35220203	0.176193624
G7308	-2.313389336	0.176199497
G7309	0.94226527	0.176233171
G7310	-0.621430466	0.176264036
G7311	1.517461153	0.176313569
G7312	0.288418197	0.176372356
G7313	3.034522536	0.176393996
G7314	0.939873546	0.176408932
G7315	0.291677205	0.176463005
G7316	-0.944554708	0.17650517
G7317	3.368918982	0.176517214
G7318	0.332902377	0.176535432
G7319	0.450360545	0.176564819
G7320	-0.91901387	0.176571134
G7321	-1.770058999	0.176571307
G7322	0.279512418	0.176595426
G7323	-0.598113671	0.176698353
G7324	-1.326563224	0.176751036
G7325	-0.300007307	0.17678693
G7326	0.27951224	0.176794646
G7327	0.494686053	0.176815273
G7328	-1.224128087	0.176817844
G7329	-0.356969533	0.176852484
G7330	-1.022100188	0.176913856
G7331	0.363704118	0.176918215
G7332	-0.237291573	0.176924333
G7333	0.455112042	0.17693139
G7334	0.217701402	0.176936069
G7335	-0.415386103	0.176992275
G7336	-0.38935212	0.177013182
G7337	-0.328783577	0.177069414
G7338	0.612058236	0.177132398
G7339	-1.277918392	0.177184155
G7340	-0.245762352	0.177295524
G7341	-0.310237001	0.177324847
G7342	-0.288968244	0.177385436
G7343	-0.740756672	0.177425358
G7344	0.504883243	0.177447928
G7345	1.633990122	0.177455478
G7346	2.077699152	0.177489101
G7347	-0.269386587	0.177640367
G7348	-0.438649192	0.17767928
G7349	0.263909602	0.177709347
G7350	1.336982411	0.177753135
G7351	-0.792664592	0.177766144
G7352	-0.276338072	0.177788661
G7353	-1.556771201	0.177830536
G7354	0.517185755	0.177885984
G7355	0.439352122	0.177922953
G7356	-0.921389628	0.177979426
G7357	-2.202714144	0.178049808
G7358	0.311845938	0.178206677
G7359	0.23825983	0.178223767
G7360	0.213722068	0.17828943
G7361	-0.341038814	0.178351794
G7362	2.927941072	0.178363284
G7363	0.323944919	0.178369776
G7364	0.325922273	0.178393469
G7365	0.557378739	0.178393525
G7366	0.612458945	0.178416804
G7367	0.300916808	0.178436896
G7368	0.830307741	0.178462118
G7369	-0.326146081	0.178485144
G7370	-4.16109563	0.178644514
G7371	0.228942358	0.178673481
G7372	-0.492382015	0.178675007
G7373	-0.720663927	0.178688484
G7374	-0.419287699	0.178706266
G7375	-0.278707757	0.178730708
G7376	0.323002249	0.178735367
G7377	-0.234405213	0.178777128
G7378	0.361642525	0.178785657
G7379	0.282196274	0.178833451
G7380	0.588557114	0.178833739
G7381	0.624457967	0.178865389
G7382	-0.269612085	0.178913523
G7383	-0.290583571	0.178917877
G7384	4.284600512	0.178970522
G7385	4.284600512	0.178970522
G7386	4.284600512	0.178970522
G7387	4.284600512	0.178970522
G7388	4.284600512	0.178970522
G7389	4.284600512	0.178970522
G7390	0.521626299	0.179020032
G7391	0.541844274	0.179031394
G7392	0.266479033	0.179040776
G7393	0.313721803	0.179105299
G7394	-0.531311956	0.179107068
G7395	-0.602529799	0.179129392
G7396	0.233313698	0.179149181
G7397	0.320290894	0.179178485
G7398	3.636132924	0.179200844
G7399	0.29578166	0.179286618
G7400	0.448616225	0.179334735
G7401	0.267870364	0.179346608
G7402	0.287987241	0.179352517
G7403	-0.277712787	0.179354417
G7404	0.25821997	0.179373055
G7405	-2.738443801	0.179385776
G7406	-2.12750466	0.179440511
G7407	0.379957277	0.179457046
G7408	0.237460971	0.179485755
G7409	-0.435196004	0.179511063
G7410	0.320510083	0.179549612
G7411	-0.48909908	0.179556622
G7412	0.303001717	0.179564708
G7413	-0.773030571	0.179570391
G7414	1.131945876	0.179577216
G7415	0.224463765	0.179604949
G7416	0.258289829	0.179684643
G7417	0.238362478	0.179689107
G7418	0.228080555	0.179699449
G7419	0.447746283	0.179747493
G7420	-0.278278322	0.179818819
G7421	0.485953414	0.179882504
G7422	-0.262260032	0.179917898
G7423	0.995767529	0.179939889
G7424	0.274049741	0.179959018
G7425	-0.241348453	0.179963153
G7426	-0.350753682	0.179984705
G7427	0.223884107	0.180011069
G7428	0.224087287	0.180012213
G7429	-0.710912417	0.180050843
G7430	-0.431463008	0.180088919
G7431	0.251640967	0.180160243
G7432	-1.513507515	0.180161728
G7433	-0.249448817	0.1801854
G7434	-0.284013737	0.180199554
G7435	0.3499922	0.180229483
G7436	-0.331997956	0.180330448
G7437	0.60036855	0.180331649
G7438	0.480095463	0.180351546
G7439	0.257939489	0.180356889
G7440	-0.836733066	0.180357327
G7441	-0.906926624	0.180360065
G7442	0.798498508	0.180383562
G7443	-1.317125621	0.180469892
G7444	-0.342406022	0.180496513
G7445	-0.407245635	0.180499872
G7446	0.265978757	0.180532925
G7447	0.260046114	0.180624564
G7448	-3.876682829	0.180637464
G7449	0.637318613	0.180699548
G7450	-0.36490558	0.180753985
G7451	1.131333395	0.180798383
G7452	-0.21953685	0.180807037
G7453	0.23353079	0.180870502
G7454	0.503625844	0.180950609
G7455	-0.471121705	0.181064946
G7456	0.398108983	0.181078011
G7457	0.566974382	0.18110403
G7458	-0.471294289	0.181136549
G7459	-1.13860925	0.181166134
G7460	-0.508762002	0.181210743
G7461	0.624943091	0.181235504
G7462	2.788003639	0.18133754
G7463	0.981122086	0.181343835
G7464	-0.5050367	0.181353699
G7465	-0.472069436	0.181370704
G7466	0.278888816	0.18139051
G7467	1.867554722	0.181414636
G7468	-0.346671852	0.181496517
G7469	0.244404303	0.181521411
G7470	0.75159469	0.181542044
G7471	-0.75101216	0.181605485
G7472	2.391849893	0.181635422
G7473	1.35039828	0.181682481
G7474	-0.600859274	0.181758832
G7475	-0.524345392	0.181763572
G7476	-0.316816437	0.181775063
G7477	0.273100121	0.181824278
G7478	1.671994005	0.181872123
G7479	-0.589790845	0.18188999
G7480	-0.992880249	0.181912915
G7481	0.275957493	0.18196436
G7482	0.269141719	0.181970806
G7483	-0.250960284	0.181973174
G7484	-0.235898224	0.181974944
G7485	-0.323526564	0.181981028
G7486	-0.482686042	0.182002358
G7487	3.342821494	0.182003617
G7488	0.802013829	0.182012803
G7489	-0.54272015	0.18208916
G7490	-0.305306229	0.182109125
G7491	-3.009786495	0.182135324
G7492	1.009384779	0.182172138
G7493	0.704213278	0.182174653
G7494	2.902762351	0.182248873
G7495	-0.536593717	0.182250363
G7496	-0.440275458	0.182259674
G7497	1.025648143	0.182268175
G7498	-0.498198514	0.182273937
G7499	0.958083767	0.182333153
G7500	-0.393382111	0.182341677
G7501	2.496521187	0.182409281
G7502	0.600830498	0.182450496
G7503	-1.027982008	0.182464983
G7504	-0.234573051	0.182471168
G7505	-1.244292794	0.18269496
G7506	-0.279572878	0.182707541
G7507	0.411347332	0.182740624
G7508	-0.233066378	0.182744668
G7509	0.248817921	0.182787172
G7510	-0.524862154	0.182795076
G7511	0.390772692	0.182797997
G7512	1.344427046	0.182807553
G7513	0.308614619	0.182820698
G7514	-0.245178218	0.182826621
G7515	1.913670469	0.182844659
G7516	0.218244856	0.182862078
G7517	0.48268891	0.182909357
G7518	0.750675128	0.182941648
G7519	0.255392346	0.182950078
G7520	-0.406623765	0.18299649
G7521	2.118730053	0.183001601
G7522	0.944726728	0.183006029
G7523	-3.841561714	0.183048135
G7524	0.482524555	0.183114793
G7525	3.36769188	0.183136104
G7526	0.511982366	0.183151571
G7527	0.214226566	0.18315537
G7528	-0.304985004	0.18316694
G7529	0.19099371	0.18320186
G7530	-0.426394545	0.18321851
G7531	-0.323402664	0.183231556
G7532	0.467949061	0.183281136
G7533	-3.241366216	0.183308122
G7534	0.223645793	0.18330863
G7535	0.51024612	0.183313115
G7536	-1.467803472	0.183370497
G7537	0.241187164	0.183407392
G7538	-0.575434784	0.183436751
G7539	0.217928564	0.183440792
G7540	-0.415876084	0.183479453
G7541	0.379226732	0.183526965
G7542	0.360919364	0.183557243
G7543	2.352331196	0.183590453
G7544	0.438432558	0.183652491
G7545	0.283572247	0.183655751
G7546	0.283025858	0.183746314
G7547	-0.454067839	0.183750484
G7548	-2.340895959	0.183790787
G7549	1.070453895	0.183866422
G7550	0.23849395	0.183882698
G7551	-0.252442211	0.183899926
G7552	0.375975099	0.183946225
G7553	0.698649838	0.184066981
G7554	-0.357619086	0.184090247
G7555	0.493023154	0.18413517
G7556	0.333759509	0.184158818
G7557	-2.291603023	0.184286913
G7558	1.02136326	0.184321412
G7559	-0.284344709	0.184322499
G7560	0.85402141	0.184336107
G7561	0.284504276	0.184337268
G7562	0.225870918	0.184371518
G7563	3.336648235	0.184386636
G7564	-0.298705804	0.184546147
G7565	0.54062602	0.18455487
G7566	0.320187742	0.184587992
G7567	-0.745096774	0.184602365
G7568	3.342810977	0.18463403
G7569	0.291340613	0.184634511
G7570	-0.443826183	0.18466102
G7571	-0.466087908	0.184726683
G7572	0.567923664	0.184733221
G7573	-0.24527146	0.184734639
G7574	-0.410258037	0.184744476
G7575	-0.47440518	0.184768042
G7576	-0.39060689	0.184821897
G7577	-0.39222497	0.184862624
G7578	0.309134898	0.184878959
G7579	0.265986313	0.184883196
G7580	-0.424897983	0.184904571
G7581	-0.719586695	0.18491799
G7582	0.302633914	0.184929109
G7583	0.262236387	0.184937464
G7584	-0.356928371	0.184968427
G7585	-0.312323878	0.184982306
G7586	0.213525797	0.184996801
G7587	0.903991086	0.185121736
G7588	0.386810728	0.18513533
G7589	-0.453876367	0.185150482
G7590	-0.564153778	0.185166713
G7591	0.732368925	0.185168394
G7592	-0.300072559	0.185171905
G7593	0.231026492	0.185191054
G7594	-0.28755917	0.185194905
G7595	-0.224288427	0.185211671
G7596	-0.249255971	0.185233436
G7597	-0.236147884	0.185245367
G7598	-1.218058096	0.185274766
G7599	0.264388893	0.185393455
G7600	0.591329786	0.185424204
G7601	-0.372713374	0.185444469
G7602	-1.000572701	0.185492073
G7603	0.43393399	0.185494389
G7604	0.354018027	0.185533572
G7605	-0.476643565	0.185577763
G7606	0.279377128	0.18558609
G7607	0.270509639	0.185658505
G7608	-0.400738944	0.185697146
G7609	0.198983566	0.185735094
G7610	-0.294368207	0.185783643
G7611	0.564311385	0.185807438
G7612	1.16960887	0.185831242
G7613	-0.49837082	0.185866645
