gene_id	log2FoldChange	pvalue
G397	1.953209116	0.001097828
G398	0.554603009	0.001097907
G399	-2.355333663	0.001099834
G400	1.761819653	0.00111499
G401	2.724997215	0.001115527
G402	0.638776083	0.001131703
G403	1.022557227	0.001144098
G404	1.20596264	0.001170261
G405	-1.181431235	0.001171296
G406	-5.657787621	0.001177809
G407	-0.871354387	0.001187682
G408	0.617337463	0.001200912
G409	0.689606444	0.001205391
G410	-0.588304287	0.001225999
G411	-0.59305387	0.001227315
G412	1.048212056	0.001230956
G413	0.617954151	0.001243566
G414	3.884240035	0.001247546
G415	-0.654437216	0.001249105
G416	-0.624027052	0.001258989
G417	-1.160343607	0.001265362
G418	0.574928406	0.001268952
G419	-0.733118678	0.001294487
G420	0.6065086	0.001303779
G421	0.577948235	0.001311116
G422	0.699290935	0.001315161
G423	0.706964246	0.001316893
G424	0.658315	0.001322845
G425	0.943636692	0.001356541
G426	0.570645123	0.001364929
G427	0.870677349	0.001367382
G428	0.658255101	0.00137574
G429	4.849990232	0.001388741
G430	5.832805208	0.00139008
G431	0.635491023	0.001396656
G432	0.611133087	0.001413577
G433	-0.756698202	0.001421042
G434	-0.540529429	0.001438466
G435	-0.831920162	0.001439007
G436	-0.632730512	0.001445724
G437	0.957473093	0.001448803
G438	-0.697330492	0.001451369
G439	-0.722700633	0.001456275
G440	-4.523453568	0.001460727
G441	-1.010714875	0.00146259
G442	5.408757635	0.001468364
G443	0.555855173	0.001479851
G444	0.608320952	0.001492421
G445	0.595777141	0.001495757
G446	-0.690136429	0.001500583
G447	0.519593599	0.001513187
G448	0.640830048	0.001524184
G449	1.086596185	0.001524682
G450	0.587187742	0.001527948
G451	1.485228077	0.001533467
G452	-1.677622366	0.001553864
G453	0.803880717	0.00156241
G454	0.893023827	0.001568277
G455	0.490792615	0.001572179
G456	0.563821886	0.001583536
G457	0.586017905	0.001602703
G458	0.575290763	0.001610362
G459	0.855866194	0.001639369
G460	1.043237665	0.001643263
G461	1.210713272	0.001645961
G462	1.101195244	0.0016628
G463	1.193806725	0.001674654
G464	-0.68375213	0.001702364
G465	0.573448286	0.001716762
G466	-5.717766537	0.001722059
G467	2.934670053	0.00172364
G468	-0.638770761	0.001746397
G469	5.736543259	0.001747628
G470	-0.781350578	0.001759898
G471	0.967798751	0.001775884
G472	-0.715259244	0.001779664
G473	0.637386177	0.001797689
G474	0.653823335	0.001805745
G475	-0.969172361	0.001818656
G476	-0.727153308	0.001824565
G477	0.538364912	0.001828569
G478	1.049352284	0.001872274
G479	0.63236259	0.001921529
G480	0.597631692	0.001924025
G481	1.073603978	0.001940004
G482	-0.649530268	0.001950289
G483	-0.992084488	0.001964203
G484	0.698286747	0.001973631
G485	2.458068393	0.001975483
G486	0.698669081	0.001979832
G487	0.869551066	0.001982338
G488	1.061362175	0.001985471
G489	-0.732532494	0.001991499
G490	0.598492141	0.002013
G491	0.759248232	0.002018894
G492	1.67830628	0.002019891
G493	0.702586056	0.002024562
G494	0.492401283	0.002032298
G495	0.705401183	0.002039694
G496	0.863436834	0.002045062
G497	-1.848761828	0.002068101
G498	-0.833112715	0.002073643
G499	0.56245712	0.002084156
G500	0.521018664	0.002085186
G501	-5.447004732	0.002095015
G502	1.126455673	0.002108201
G503	0.683183701	0.002114656
G504	1.103284591	0.002118071
G505	-0.977226935	0.002141314
G506	0.573816463	0.002152216
G507	-0.617820964	0.00215841
G508	-0.734757353	0.002171743
G509	1.756472494	0.0021878
G510	0.609523267	0.002191237
G511	-1.667142346	0.002196076
G512	0.672317379	0.002200357
G513	0.704996009	0.002219254
G514	2.936275039	0.00222979
G515	-1.178139563	0.002255328
G516	0.695925362	0.002275786
G517	-0.724891702	0.002318755
G518	1.207817667	0.002320984
G519	-0.915320801	0.002329015
G520	-1.313322899	0.002330428
G521	0.985115023	0.002334706
G522	0.581530034	0.002357267
G523	0.70999657	0.002358203
G524	0.529618285	0.002361872
G525	0.70624023	0.002365466
G526	0.542597732	0.002367639
G527	0.67296104	0.002367813
G528	2.139220181	0.002376799
G529	-1.19121207	0.002416633
G530	-0.853815407	0.0024204
G531	0.648932718	0.002454941
G532	-0.49383616	0.002466977
G533	-0.733530259	0.00246701
G534	0.702115759	0.002480566
G535	0.720459996	0.002483008
G536	-0.766053837	0.002484537
G537	5.767998859	0.00250776
G538	-0.94776958	0.002525289
G539	0.665749211	0.002526396
G540	-1.153551391	0.002543381
G541	-0.850786668	0.002548709
G542	-0.960206359	0.002552057
G543	0.916496982	0.002553134
G544	0.693404831	0.002555428
G545	0.553622644	0.002562264
G546	-0.704098978	0.002567405
G547	0.723443121	0.002567793
G548	0.901593212	0.002585758
G549	0.806755933	0.002593791
G550	1.091492959	0.002617835
G551	0.660300928	0.002631067
G552	1.003023218	0.002640696
G553	0.536335191	0.002647348
G554	0.788658915	0.002657014
G555	-0.988696705	0.002657579
G556	2.257476373	0.00267866
G557	0.941992929	0.002700043
G558	0.647463336	0.002705371
G559	-0.903194017	0.002710322
G560	0.758610999	0.002714955
G561	0.742084665	0.002717381
G562	-0.592453633	0.002718646
G563	0.529709239	0.002734019
G564	-1.032355028	0.002745659
G565	0.525322496	0.002750181
G566	0.850495399	0.002757532
G567	1.781621893	0.002762229
G568	0.920891791	0.002766511
G569	0.504062011	0.002771059
G570	1.813266472	0.002772079
G571	-2.261878917	0.002780873
G572	-1.9443347	0.002781363
G573	0.64980041	0.002812659
G574	-0.463845635	0.002816377
G575	1.180954108	0.002819336
G576	-0.612058688	0.002830887
G577	0.618448828	0.002860237
G578	-2.171160967	0.002878882
G579	0.631967179	0.00289106
G580	0.67930741	0.002896445
G581	0.583365292	0.002909605
G582	0.769573203	0.002921904
G583	-2.61381046	0.002922133
G584	-0.906312299	0.002927337
G585	-0.711957513	0.002929107
G586	0.509360132	0.002943146
G587	1.113004539	0.0029509
G588	0.796942304	0.002963876
G589	-0.971550671	0.002967509
G590	-3.000455362	0.002968748
G591	0.776919235	0.00297823
G592	-1.002287124	0.002980286
G593	3.927214101	0.002999984
G594	0.540398458	0.003011078
G595	-3.480524141	0.003013481
G596	-0.850734374	0.003014852
G597	0.996974124	0.003017291
G598	0.599564524	0.003029856
G599	0.502357456	0.003031532
G600	1.249278526	0.003032462
G601	-0.640354927	0.003034267
G602	0.860396589	0.003035046
G603	-0.561868582	0.003056404
G604	0.630793984	0.003056624
G605	2.520782922	0.003070148
G606	0.730513906	0.003073558
G607	0.524839641	0.00307547
G608	1.394024304	0.003078137
G609	0.844400109	0.003079435
G610	-1.082686361	0.003100424
G611	-0.617206379	0.003103573
G612	0.546679578	0.003106423
G613	0.580912573	0.003110667
G614	0.849136805	0.003123496
G615	0.67223429	0.003141599
G616	0.535879406	0.0031606
G617	1.014454593	0.003167266
G618	0.563471784	0.003172252
G619	0.536991096	0.003174631
G620	0.781641465	0.00318559
G621	-0.651261139	0.003197856
G622	-0.671176733	0.003212641
G623	2.582904887	0.003221166
G624	5.387388605	0.003223234
G625	0.574975043	0.003225499
G626	1.490705145	0.003229782
G627	0.900684123	0.003247663
G628	0.778231821	0.003255771
G629	5.907477127	0.003282601
G630	0.962135154	0.003291279
G631	-0.719342846	0.003302146
G632	-0.506220665	0.003315695
G633	0.612903681	0.003347057
G634	-0.794390837	0.003389124
G635	0.499165024	0.003414214
G636	-1.163816522	0.00342683
G637	0.85741286	0.003435818
G638	0.458775228	0.003435862
G639	-0.632131055	0.003455521
G640	-0.587313988	0.00346228
G641	0.699590817	0.003484964
G642	-0.740882756	0.003485335
G643	-1.123551753	0.003501327
G644	3.211134528	0.003507328
G645	-0.726978924	0.003510931
G646	-0.620808602	0.003518941
G647	-0.827541006	0.003541777
G648	-0.893153419	0.003545919
G649	-2.410878269	0.003553458
G650	-0.703753014	0.003560504
G651	-0.65664779	0.003560788
G652	-0.876199502	0.003592652
G653	-1.617178913	0.003596205
G654	-0.856409132	0.003639839
G655	4.879755518	0.003664744
G656	1.093340704	0.003681084
G657	0.569291254	0.003689961
G658	0.457105589	0.003698362
G659	0.50596647	0.003724341
G660	-0.669600131	0.003728013
G661	-0.975680077	0.003773744
G662	0.857437035	0.003783872
G663	-1.228099043	0.003788325
G664	-0.658809137	0.003800852
G665	0.721754302	0.003824447
G666	-1.429880733	0.003829467
G667	-0.635536964	0.003841784
G668	-1.853588913	0.003858483
G669	-0.616175664	0.003860761
G670	5.457067371	0.003861124
G671	4.46924166	0.003873908
G672	1.737865593	0.003877774
G673	0.859248514	0.003894705
G674	0.623113735	0.003902214
G675	0.537951811	0.003902829
G676	0.935913307	0.003902919
G677	-4.898825015	0.003934103
G678	1.906008899	0.003949663
G679	-1.763085468	0.003952768
G680	0.462051388	0.003960884
G681	-3.808889357	0.00396874
G682	0.497517932	0.003974898
G683	0.638957732	0.00397888
G684	0.581181901	0.003992858
